0;0;0;0;0;old_rightForefinger;protrait;concave;60;1;
1;20;27;False;True;False;-1622133729308;0;624;-1622133729932;617;0;1622133729308;(269.4, 153.9);1;1622133729315;1622133729932;(152.2, 981.8);0;0;0;(0.0, 0.0);;;
2;24;12;False;True;False;-1622133730323;0;776;-1622133731099;768;0;1622133730323;(225.4, 205.1);1;1622133730331;1622133731099;(1273.2, 1055.1);0;0;0;(0.0, 0.0);;;
3;15;33;False;False;False;-1622133731614;0;1368;-1622133732982;1363;0;1622133731614;(232.8, 300.4);2;1622133731619;1622133732982;(166.8, 1450.7);0;0;0;(0.0, 0.0);(203.5, 1311.5, 0.0)*;;
4;11;28;False;True;False;-1622133733395;0;584;-1622133733979;578;0;1622133733395;(108.2, 219.8);1;1622133733401;1622133733979;(467.2, 1861.0);0;0;0;(0.0, 0.0);;;
5;14;18;False;True;False;-1622133734462;0;612;-1622133735074;606;0;1622133734462;(166.8, 227.1);1;1622133734468;1622133735074;(1287.8, 1824.4);0;0;0;(0.0, 0.0);;;
6;33;18;False;True;False;-1622133735668;0;758;-1622133736426;752;0;1622133735668;(137.5, 249.1);1;1622133735674;1622133736426;(958.1, 190.5);0;0;0;(0.0, 0.0);;;
7;16;20;False;True;False;-1622133736784;0;648;-1622133737432;641;0;1622133736784;(218.1, 241.8);1;1622133736791;1622133737432;(452.6, 1370.1);0;0;0;(0.0, 0.0);;;
8;30;0;False;True;False;-1622133738144;0;1250;-1622133739394;1244;0;1622133738144;(232.8, 212.5);1;1622133738150;1622133739394;(210.8, 197.8);0;0;0;(0.0, 0.0);;;
9;0;15;False;True;False;-1622133739913;0;1055;-1622133740968;1049;0;1622133739913;(284.1, 263.8);1;1622133739919;1622133740968;(225.4, 2571.7);0;0;0;(0.0, 0.0);;;
10;12;16;False;True;False;-1622133741626;0;955;-1622133742581;949;0;1622133741626;(159.5, 249.1);1;1622133741632;1622133742581;(672.4, 1861.0);0;0;0;(0.0, 0.0);;;
11;9;9;False;True;False;-1622133743251;0;953;-1622133744204;947;0;1622133743251;(166.8, 278.4);1;1622133743257;1622133744204;(1221.9, 2183.4);0;0;0;(0.0, 0.0);;;
12;17;23;False;True;False;-1622133745044;0;781;-1622133745825;775;0;1622133745044;(284.1, 285.7);1;1622133745050;1622133745825;(753.0, 1421.4);0;0;0;(0.0, 0.0);;;
13;1;27;False;True;False;-1622133746351;0;1121;-1622133747472;1113;0;1622133746351;(137.5, 190.5);1;1622133746359;1622133747472;(430.6, 2630.3);0;0;0;(0.0, 0.0);;;
14;5;24;False;True;False;-1622133748048;0;913;-1622133748961;902;0;1622133748048;(115.5, 131.9);1;1622133748059;1622133748961;(166.8, 2242.0);0;0;0;(0.0, 0.0);;;
15;34;14;False;True;False;-1622133749587;0;854;-1622133750441;848;0;1622133749587;(196.1, 351.7);1;1622133749593;1622133750441;(1221.9, 227.1);0;0;0;(0.0, 0.0);;;
16;23;18;False;True;False;-1622133751076;0;1223;-1622133752299;1217;0;1622133751076;(100.9, 190.5);1;1622133751082;1622133752299;(958.1, 967.1);0;0;0;(0.0, 0.0);;;
17;32;21;False;True;False;-1622133753037;0;700;-1622133753737;693;0;1622133753037;(254.8, 205.1);1;1622133753044;1622133753737;(767.6, 183.2);0;0;0;(0.0, 0.0);;;
18;2;32;False;True;False;-1622133754184;0;713;-1622133754897;706;0;1622133754184;(247.4, 190.5);1;1622133754191;1622133754897;(679.7, 2557.0);0;0;0;(0.0, 0.0);;;
19;31;4;False;True;False;-1622133755548;0;699;-1622133756247;692;0;1622133755548;(108.2, 271.1);1;1622133755555;1622133756247;(437.9, 168.5);0;0;0;(0.0, 0.0);;;
20;4;17;False;True;False;-1622133756575;0;871;-1622133757446;865;0;1622133756575;(203.5, 183.2);1;1622133756581;1622133757446;(1265.8, 2652.3);0;0;0;(0.0, 0.0);;;
21;8;27;False;True;False;-1622133758031;0;752;-1622133758783;746;0;1622133758031;(108.2, 131.9);1;1622133758037;1622133758783;(1038.7, 2183.4);0;0;0;(0.0, 0.0);;;
22;18;4;False;True;False;-1622133759474;0;712;-1622133760186;706;0;1622133759474;(130.2, 161.2);1;1622133759480;1622133760186;(1046.0, 1406.7);0;0;0;(0.0, 0.0);;;
23;28;23;False;True;False;-1622133760681;0;841;-1622133761522;832;0;1622133760681;(181.5, 205.1);1;1622133760690;1622133761522;(987.4, 593.5);0;0;0;(0.0, 0.0);;;
24;3;1;False;False;False;-1622133762192;0;1495;-1622133763687;1489;0;1622133762192;(291.4, 146.5);2;1622133762198;1622133763687;(1024.1, 2579.0);0;0;0;(0.0, 0.0);(1024.1, 2491.1, 0.0)*;;
25;19;22;False;True;False;-1622133764384;0;875;-1622133765259;868;0;1622133764384;(181.5, 183.2);1;1622133764391;1622133765259;(1280.5, 1377.4);0;0;0;(0.0, 0.0);;;
